"","term","gene"
"67","PROSTATE CANCER","8379"
"68","PROSTATE CANCER","11200"
"69","PROSTATE CANCER","367"
"70","PROSTATE CANCER","4601"
"71","PROSTATE CANCER","3092"
"72","PROSTATE CANCER","1316"
"73","PROSTATE CANCER","463"
"74","PROSTATE CANCER","388289"
"75","PROSTATE CANCER","675"
"76","PROSTATE CANCER","3732"
"77","PROSTATE CANCER","999"
"78","PROSTATE CANCER","5728"
"79","PROSTATE CANCER","4481"
"80","DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT","83715"
"81","METACHROMATIC LEUKODYSTROPHY DUE TO SAPOSIN B DEFICIENCY","5660"
"82","GAUCHER DISEASE, ATYPICAL, DUE TO SAPOSIN C DEFICIENCY","5660"
"83","COMBINED SAPOSIN DEFICIENCY","5660"
"84","KRABBE DISEASE, ATYPICAL, DUE TO SAPOSIN A DEFICIENCY","5660"
"85","CAMPTOSYNPOLYDACTYLY, COMPLEX","727857"
"86","SYNDACTYLY, MESOAXIAL SYNOSTOTIC, WITH PHALANGEAL REDUCTION","727857"
"87","BLOOD GROUP, DIEGO SYSTEM","6521"
"88","BLOOD GROUP--WALDNER TYPE","6521"
"89","BLOOD GROUP--WRIGHT ANTIGEN","6521"
"90","OVALOCYTOSIS, SOUTHEAST ASIAN","6521"
"91","RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL DOMINANT","6521"
"92","CRYOHYDROCYTOSIS","6521"
"93","CRYOHYDROCYTOSIS","83959"
"94","BLOOD GROUP--SWANN SYSTEM","6521"
"95","BLOOD GROUP--FROESE","6521"
"96","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","6521"
"97","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","2995"
"98","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","7124"
"99","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","948"
"100","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","3043"
"101","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","4843"
"102","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","1154"
"103","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","114609"
"104","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","2539"
"105","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","2993"
"106","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","2994"
"107","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","3383"
"108","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","1378"
"109","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","2212"
"110","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","9103"
"111","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","2213"
"112","MALARIA, SUSCEPTIBILITY TOMALARIA, RESISTANCE TO, INCLUDED","2532"
"113","RENAL TUBULAR ACIDOSIS, DISTAL, WITH HEMOLYTIC ANEMIA","6521"
"114","SPHEROCYTOSIS, TYPE 4","6521"
"115","PSEUDOXANTHOMA ELASTICUM, FORME FRUSTEPSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED","368"
"116","PSEUDOXANTHOMA ELASTICUM","368"
"117","PSEUDOXANTHOMA ELASTICUM","64132"
"118","PSEUDOXANTHOMA ELASTICUM","64131"
"119","ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2","368"
"120","THYROID DYSHORMONOGENESIS 6","50506"
"121","CRYPTORCHIDISM, UNILATERAL OR BILATERAL","3640"
"122","CRYPTORCHIDISM, UNILATERAL OR BILATERAL","122042"
"123","RETINITIS PIGMENTOSA 33","23020"
"124","CATARACT 42","1412"
"125","MITOCHONDRIAL COMPLEX I DEFICIENCY","4709"
"126","MITOCHONDRIAL COMPLEX I DEFICIENCY","4723"
"127","MITOCHONDRIAL COMPLEX I DEFICIENCY","126328"
"128","MITOCHONDRIAL COMPLEX I DEFICIENCY","4724"
"129","MITOCHONDRIAL COMPLEX I DEFICIENCY","25915"
"130","MITOCHONDRIAL COMPLEX I DEFICIENCY","4722"
"131","MITOCHONDRIAL COMPLEX I DEFICIENCY","55572"
"132","MITOCHONDRIAL COMPLEX I DEFICIENCY","91942"
"133","MITOCHONDRIAL COMPLEX I DEFICIENCY","4729"
"134","MITOCHONDRIAL COMPLEX I DEFICIENCY","51300"
"135","MITOCHONDRIAL COMPLEX I DEFICIENCY","79133"
"136","MITOCHONDRIAL COMPLEX I DEFICIENCY","4715"
"137","MITOCHONDRIAL COMPLEX I DEFICIENCY","4726"
"138","MITOCHONDRIAL COMPLEX I DEFICIENCY","80224"
"139","MITOCHONDRIAL COMPLEX I DEFICIENCY","51103"
"140","MITOCHONDRIAL COMPLEX I DEFICIENCY","4720"
"141","MITOCHONDRIAL COMPLEX I DEFICIENCY","4694"
"142","MITOCHONDRIAL COMPLEX I DEFICIENCY","29078"
"143","MITOCHONDRIAL COMPLEX I DEFICIENCY","55863"
"144","MITOCHONDRIAL COMPLEX I DEFICIENCY","4719"
"145","SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 4","57449"
"146","CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE C","57449"
"147","RETINITIS PIGMENTOSA 69","55857"
"148","FAMILIAL ADENOMATOUS POLYPOSIS 3","4913"
"149","GLYCOGEN STORAGE DISEASE XII","226"
"150","JOUBERT SYNDROME 33","10464"
"151","POLYCYSTIC KIDNEY DISEASE 1 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE","5310"
"152","WOLFRAM SYNDROME 2","493856"
"153","SEVERE COMBINED IMMUNODEFICIENCY, X-LINKED","3561"
"154","COMBINED IMMUNODEFICIENCY, X-LINKED","3561"
"155","PYLE DISEASE","6424"
"156","LEUKODYSTROPHY, HYPOMYELINATING, 14","51569"
"157","CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO","1373"
"158","PULMONARY HYPERTENSION, NEONATAL, SUSCEPTIBILITY TO","1373"
"159","HYPOGONADOTROPIC HYPOGONADISM 1 WITH OR WITHOUT ANOSMIA","3730"
"160","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE,B CELL-POSITIVE, NK CELL-NEGATIVE","3718"
"161","RENAL HYPODYSPLASIA/APLASIA 2","26281"
"162","HYPERTENSION, ESSENTIAL","185"
"163","HYPERTENSION, ESSENTIAL","1577"
"164","HYPERTENSION, ESSENTIAL","1889"
"165","HYPERTENSION, ESSENTIAL","5740"
"166","HYPERTENSION, ESSENTIAL","4843"
"167","HYPERTENSION, ESSENTIAL","2784"
"168","HYPERTENSION, ESSENTIAL","118"
"169","HYPERTENSION, ESSENTIAL","8490"
"170","HYPERTENSION, ESSENTIAL","481"
"171","HYPERTENSION, ESSENTIAL","6401"
"172","HYPERTENSION, ESSENTIAL","183"
"173","HYPERTENSION, ESSENTIAL","4846"
"174","RENAL TUBULAR DYSGENESIS","185"
"175","RENAL TUBULAR DYSGENESIS","1636"
"176","RENAL TUBULAR DYSGENESIS","5972"
"177","RENAL TUBULAR DYSGENESIS","183"
"178","SHORT-RIB THORACIC DYSPLASIA 20 WITH POLYDACTYLY","27152"
"179","OROFACIODIGITAL SYNDROME XVII","27152"
"180","PREGNANCY LOSS, RECURRENT, SUSCEPTIBILITY TO, 3","308"
"181","CILIARY DYSKINESIA, PRIMARY, 6","51314"
"182","ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMALDOMINANT","10913"
"183","ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMALDOMINANT","128178"
"184","ECTODERMAL DYSPLASIA 10B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMALRECESSIVE","10913"
"185","ECTODERMAL DYSPLASIA 10B, HYPOHIDROTIC/HAIR/TOOTH TYPE, AUTOSOMALRECESSIVE","128178"
"186","HAIR MORPHOLOGY 1","10913"
"187","CEROID LIPOFUSCINOSIS, NEURONAL, 5","1203"
"188","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1","23095"
"189","PHEOCHROMOCYTOMA","23095"
"190","PHEOCHROMOCYTOMA","7428"
"191","PHEOCHROMOCYTOMA","6390"
"192","PHEOCHROMOCYTOMA","2668"
"193","PHEOCHROMOCYTOMA","6392"
"194","PHEOCHROMOCYTOMA","55654"
"195","PHEOCHROMOCYTOMA","4149"
"196","PHEOCHROMOCYTOMA","5979"
"197","NEUROBLASTOMA, SUSCEPTIBILITY TONEUROBLASTOMA, SUSCEPTIBILITY TO, 1, INCLUDED","23095"
"198","NEUROBLASTOMA, SUSCEPTIBILITY TONEUROBLASTOMA, SUSCEPTIBILITY TO, 1, INCLUDED","4830"
"199","MYELOMA, MULTIPLEAMYLOIDOSIS, SYSTEMIC, INCLUDED","3981"
"200","MYELOMA, MULTIPLEAMYLOIDOSIS, SYSTEMIC, INCLUDED","595"
"201","LIG4 SYNDROME","3981"
"202","VERHEIJ SYNDROME","22827"
"203","SPERMATOGENIC FAILURE 3","116369"
"204","OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT","1302"
"205","OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA, AUTOSOMAL RECESSIVE","1302"
"206","OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA, AUTOSOMAL RECESSIVE","1280"
"207","DEAFNESS, AUTOSOMAL DOMINANT 13","1302"
"208","DEAFNESS, AUTOSOMAL RECESSIVE 53","1302"
"209","FIBROCHONDROGENESIS 2","1302"
"210","EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED","2010"
"211","HAND-FOOT-GENITAL SYNDROME","3209"
"212","PREAXIAL DEFICIENCY, POSTAXIAL POLYDACTYLY, AND HYPOSPADIAS","3209"
"213","DEAFNESS, AUTOSOMAL RECESSIVE 24","5962"
"214","PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY, AUTOSOMAL RECESSIVE","10564"
"215","NESTOR-GUILLERMO PROGERIA SYNDROME","8815"
"216","MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO","3123"
"217","MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO","105369230"
"218","MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO","3119"
"219","MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO","5133"
"220","RHEUMATOID ARTHRITIS","3123"
"221","RHEUMATOID ARTHRITIS","105369230"
"222","RHEUMATOID ARTHRITIS","4795"
"223","RHEUMATOID ARTHRITIS","23569"
"224","RHEUMATOID ARTHRITIS","4261"
"225","RHEUMATOID ARTHRITIS","26191"
"226","RHEUMATOID ARTHRITIS","3586"
"227","RHEUMATOID ARTHRITIS","6583"
"228","RHEUMATOID ARTHRITIS","51744"
"229","SARCOIDOSIS, SUSCEPTIBILITY TO, 1","3123"
"230","SARCOIDOSIS, SUSCEPTIBILITY TO, 1","105369230"
"231","HYPOGONADOTROPIC HYPOGONADISM 4 WITH OR WITHOUT ANOSMIA","60675"
"232","CELIAC DISEASE, SUSCEPTIBILITY TO, 1","3117"
"233","CELIAC DISEASE, SUSCEPTIBILITY TO, 1","3118"
"234","CELIAC DISEASE, SUSCEPTIBILITY TO, 1","3119"
"235","BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 17","55366"
"236","SIALURIA","10020"
"237","NONAKA MYOPATHY","10020"
"238","THYROID DYSHORMONOGENESIS 5","405753"
"239","CARDIOMYOPATHY, DILATED, 1Z","7134"
"240","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 13","7134"
"241","PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 1","5277"
"242","MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2","5277"
"243","MEIER-GORLIN SYNDROME 8","4174"
"244","VENTRICULAR TACHYCARDIA, FAMILIAL","2771"
"245","DIABETES MELLITUS, TRANSIENT NEONATAL, 1","346171"
"246","DIABETES MELLITUS, TRANSIENT NEONATAL, 1","57061"
"247","DIABETES MELLITUS, TRANSIENT NEONATAL, 1","5325"
"248","KINDLER SYNDROME","55612"
"249","EHLERS-DANLOS SYNDROME, SPONDYLODYSPLASTIC TYPE, 3","91252"
"250","MYOPATHY, MYOFIBRILLAR, 7","339855"
"251","CATARACT 5, MULTIPLE TYPES","3299"
"252","LIPOID CONGENITAL ADRENAL HYPERPLASIA","6770"
"253","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C","7508"
"254","CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 8","51807"
"255","EPISODIC PAIN SYNDROME, FAMILIAL, 1","8989"
"256","COCKAYNE SYNDROME B","2074"
"257","COCKAYNE SYNDROME B","267004"
"258","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","2074"
"259","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","267004"
"260","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","2064"
"261","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","5519"
"262","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","5002"
"263","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","11186"
"264","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","673"
"265","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","1326"
"266","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","841"
"267","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","9940"
"268","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","5290"
"269","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","1956"
"270","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","3845"
"271","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","3659"
"272","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","5071"
"273","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","1548"
"274","LUNG CANCERALVEOLAR CELL CARCINOMA, INCLUDED","356"
"275","CEREBROOCULOFACIOSKELETAL SYNDROME 1","2074"
"276","CEREBROOCULOFACIOSKELETAL SYNDROME 1","267004"
"277","DE SANCTIS-CACCHIONE SYNDROME","2074"
"278","DE SANCTIS-CACCHIONE SYNDROME","267004"
"279","UV-SENSITIVE SYNDROME 1","2074"
"280","UV-SENSITIVE SYNDROME 1","267004"
"281","MACULAR DEGENERATION, AGE-RELATED, 5","2074"
"282","MACULAR DEGENERATION, AGE-RELATED, 5","267004"
"283","PREMATURE OVARIAN FAILURE 11","2074"
"284","PREMATURE OVARIAN FAILURE 11","267004"
"285","NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR 1","8036"
"286","PEROXISOME BIOGENESIS DISORDER 7A (ZELLWEGER)","55670"
"287","PEROXISOME BIOGENESIS DISORDER 7B","55670"
"288","HYPOTRICHOSIS 2","1041"
"289","PEELING SKIN SYNDROME 1","1041"
"290","CONOTRUNCAL HEART MALFORMATIONS","137814"
"291","CONOTRUNCAL HEART MALFORMATIONS","55997"
"292","CONOTRUNCAL HEART MALFORMATIONS","2657"
"293","CONOTRUNCAL HEART MALFORMATIONS","10715"
"294","CONOTRUNCAL HEART MALFORMATIONS","2627"
"295","CONOTRUNCAL HEART MALFORMATIONS","6899"
"296","CONOTRUNCAL HEART MALFORMATIONS","1482"
"297","ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 5","79188"
"298","EMERY-DREIFUSS MUSCULAR DYSTROPHY 7, AUTOSOMAL DOMINANT","79188"
"299","PYOGENIC STERILE ARTHRITIS, PYODERMA GANGRENOSUM, AND ACNE","9051"
"300","COLOBOMA, CONGENITAL HEART DISEASE, ICHTHYOSIFORM DERMATOSIS, MENTALRETARDATION, AND EAR ANOMALIES SYNDROME","9487"
"301","MIRROR MOVEMENTS 3","10126"
"302","BARDET-BIEDL SYNDROME 19","11020"
"303","CONGENITAL DISORDER OF DEGLYCOSYLATION","55768"
"304","LYMPHANGIOLEIOMYOMATOSIS","7249"
"305","LYMPHANGIOLEIOMYOMATOSIS","7248"
"306","FOCAL CORTICAL DYSPLASIA, TYPE II","7249"
"307","FOCAL CORTICAL DYSPLASIA, TYPE II","2475"
"308","FOCAL CORTICAL DYSPLASIA, TYPE II","7248"
"309","TUBEROUS SCLEROSIS 2","7249"
"310","TUBEROUS SCLEROSIS 2","3458"
"311","HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME","253738"
"312","FUCOSYLTRANSFERASE 6 DEFICIENCY","2528"
"313","ANEMIA, SIDEROBLASTIC, 2, PYRIDOXINE-REFRACTORY","54977"
"314","ANEMIA, SIDEROBLASTIC, 2, PYRIDOXINE-REFRACTORY","51218"
"315","MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA","388962"
"316","FRASER SYNDROME 1","341640"
"317","FRASER SYNDROME 1","23426"
"318","FRASER SYNDROME 1","80144"
"319","FRASER SYNDROME 2","341640"
"320","CATARACT 30, MULTIPLE TYPES","7431"
"321","LYSOSOMAL ACID LIPASE DEFICIENCY","3988"
"322","PORPHYRIA, CONGENITAL ERYTHROPOIETIC","7390"
"323","SPASTIC ATAXIA 2, AUTOSOMAL RECESSIVE","10749"
"324","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2072"
"325","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","5889"
"326","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","83990"
"327","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2177"
"328","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","4281"
"329","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","79728"
"330","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","55120"
"331","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","55636"
"332","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","4613"
"333","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","55215"
"334","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","84464"
"335","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","57697"
"336","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","6657"
"337","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2188"
"338","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","675"
"339","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2176"
"340","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2187"
"341","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2737"
"342","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2175"
"343","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2189"
"344","TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA","2178"
"345","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F","2072"
"346","XFE PROGEROID SYNDROME","2072"
"347","FANCONI ANEMIA, COMPLEMENTATION GROUP Q","2072"
"348","MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 1","23556"
"349","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2G","8557"
"350","CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 25","8557"
"351","HERMANSKY-PUDLAK SYNDROME 6","79803"
"352","CORNELIA DE LANGE SYNDROME 5","55869"
"353","CREUTZFELDT-JAKOB DISEASE","3119"
"354","CREUTZFELDT-JAKOB DISEASE","5621"
"355","RETINITIS PIGMENTOSA 9","6100"
"356","CEREBRAL CAVERNOUS MALFORMATIONS","889"
"357","TYROSINEMIA, TYPE I","2184"
"358","ERYTHROCYTOSIS, FAMILIAL, 1","3717"
"359","ERYTHROCYTOSIS, FAMILIAL, 1","2057"
"360","ERYTHROCYTOSIS, FAMILIAL, 1","10019"
"361","MYELOFIBROSISMYELOFIBROSIS WITH MYELOID METAPLASIA, INCLUDED","3717"
"362","MYELOFIBROSISMYELOFIBROSIS WITH MYELOID METAPLASIA, INCLUDED","811"
"363","MYELOFIBROSISMYELOFIBROSIS WITH MYELOID METAPLASIA, INCLUDED","4352"
"364","MYELOFIBROSISMYELOFIBROSIS WITH MYELOID METAPLASIA, INCLUDED","10019"
"365","POLYCYTHEMIA VERA","3717"
"366","BUDD-CHIARI SYNDROME","3717"
"367","BUDD-CHIARI SYNDROME","2153"
"368","LEUKEMIA, ACUTE MYELOID","3717"
"369","LEUKEMIA, ACUTE MYELOID","54904"
"370","LEUKEMIA, ACUTE MYELOID","7015"
"371","LEUKEMIA, ACUTE MYELOID","861"
"372","LEUKEMIA, ACUTE MYELOID","100506403"
"373","LEUKEMIA, ACUTE MYELOID","2624"
"374","LEUKEMIA, ACUTE MYELOID","4291"
"375","LEUKEMIA, ACUTE MYELOID","4026"
"376","LEUKEMIA, ACUTE MYELOID","1050"
"377","LEUKEMIA, ACUTE MYELOID","865"
"378","LEUKEMIA, ACUTE MYELOID","8028"
"379","LEUKEMIA, ACUTE MYELOID","26511"
